Advertiser Currency,Channel,Creative Size,Revenue (Adv Currency),Impressions,Active View: Viewable Impressions,Clicks,Total Conversions,Post-Click Conversions,Post-View Conversions
USD,fgu test public channel,336x280,0.012132,1,1,0,0,0,0
USD,kid safe sx,970x66,0.186213,31,13,0,0,0,0
USD,mogo jacks education sx,300x600,0.062011,19,11,0,0,0,0
USD,mogo marks disney sx,320x100,2.637292,218,199,0,0,0,0
USD,mogo marks video sx xsl44760 class c,970x250,7568.072132,1017023,891817,1416,2660,504,2156
USD,finn dallas native sx,300x50,3.123351,505,476,0,5,0,5
USD,magic theatre native black list,300x250,0.006354,1,1,0,0,0,0
USD,mogo marks broadwayworld sx,300x600,110.054894,9099,3346,2,32,2,30
USD,mogo marks elite kpi achievers sx,300x50,7.649069,521,495,2,22,2,20
USD,mogo marks native (sharethrough) unique can sx,200x200,0.647713,44,38,0,0,0,0
USD,/All Apps/Apple App Store/Business,300x250,114.08278,45215,39081,62,4,1,3
USD,/All Apps/Apple App Store/Navigation,728x90,8.340854,1582,1562,8,0,0,0
USD,/All Apps/Google Play/Games,336x280,0.291792,85,57,1,2,2,0
USD,Android Top Selling Free Travel and Local,300x600,0.754544,34,30,1,0,0,0
USD,Cal Performances Perf Arts 5 5 black sx,300x600,5.921428,280,247,0,0,0,0
USD,DO NOT USE Rubicon,300x250,2401.092901,338864,200228,200,915,94,821
USD,GG KPI sx,320x50,329.795995,13968,13207,11,9,1,8
USD,dbm video sx,Unknown,5452.056295,162953,155927,839,110,0,110
USD,dbm video sx,160x600,4124.564792,1012205,957314,320,1068,104,964
USD,mogo marks agg sx xsl37589,970x66,1.276249,592,164,0,0,0,0
USD,mogo marks branding elite tier sx xls37852,970x250,3868.631811,262819,215497,480,1168,259,909
USD,mogo marks native high reach tail aggregate sx,970x250,9291.714462,1218810,1065819,1757,3535,624,2911
USD,mogo marks native medium reach tail aggregate sx,970x66,0.937084,294,153,0,0,0,0
USD,mogo marks pav kpi sx,300x250,3300.137377,208899,143205,312,1361,147,1214
USD,mogo marks xsl_74205 (4p dims) sx ,336x280,10.926868,863,784,0,2,0,2
USD,ttd real estate sx,300x50,2.930912,219,213,1,5,1,4
USD,/All Apps/Google Play/Games/Music,300x50,0.092693,35,35,0,0,0,0
USD,DO NOT USE Tier 3* (CHANNEL) (2),160x600,908.832754,252184,221205,220,584,54,530
USD,DO NOT USE fgu test public channel,160x600,139.19825,21393,10431,9,52,2,50
USD,dso kpi audx sx,320x50,82.604865,11952,11311,5,247,0,247
USD,mogo CBS Interactive sx,300x50,56.847683,9500,9011,15,94,5,89
USD,mogo marks branding comp rate silver video sx,970x66,0.088683,56,9,0,0,0,0
USD,mogo marks branding drhbx silver sx,970x66,0.870361,257,140,0,0,0,0
USD,mogo marks jazz & blues sx,320x100,0.333481,334,277,1,0,0,0
USD,mogo marks natl cat-aff-im sx 2,970x66,0.049335,9,4,0,0,0,0
USD,mogo marks pav kpi sx 3,320x50,2078.007261,312118,283745,455,1042,153,889
USD,mogo marks san francisco sx,970x250,36.129996,5945,2632,4,8,2,6
USD,/All Apps/Google Play/Weather,970x250,0.039934,1,1,0,0,0,0
USD,mogo canada t1 sx,728x90,12009.29126,1471322,1149234,1505,4915,235,4680
USD,mogo cult soph sx,728x90,11555.16461,1940971,1543324,863,4067,397,3670
USD,mogo marks email sx,300x250,11319.21151,2964353,2466838,648,2536,176,2360
USD,mogo marks pav kpi sx,320x100,8.765242,445,292,0,4,0,4
USD,mogo marks phoenix sx,728x90,376.934713,206087,44282,91,241,51,190
USD,mogo marks t1 brand sx trim,200x200,0.22285,17,15,0,1,0,1
USD,mogo marks video branding max reach tail aggregate sx,970x90,306.939085,23545,20346,29,22,0,22
USD,ttd female sx,160x600,325.153225,40634,27062,14,155,3,152
USD,/All Apps/Apple App Store/Games/Board,336x280,0.003105,1,1,0,0,0,0
USD,/All Apps/Apple App Store/Games/Simulation,300x50,0.068606,11,10,0,0,0,0
USD,mogo jacks education sx,970x250,0.028143,35,26,0,0,0,0
USD,mogo marks native (sharethrough) unique us sx,320x100,35.725312,3820,3454,7,20,2,18
USD,mogo marks xsl_ks20780 sx,320x50,103026.8754,29093308,26761432,29928,41050,10536,30514
USD,/All Apps/Apple App Store/Games,300x50,23.211783,2489,2411,11,0,0,0
USD,/All Apps/Google Play/Games/Simulation,160x600,0.015956,4,3,0,0,0,0
USD,PAC Singapore sx,300x250,306.681728,13653,10366,14,56,1,55
USD,mogo marks perf arts sx 7,320x50,1912.273708,184057,167579,200,1154,96,1058
USD,mogo marks ttd obx kitchen premium sink sx,320x51,0.8361,20,19,0,0,0,0
USD,mogo marks xsl_800p sx,970x90,264.800324,20681,17670,15,23,0,23
USD,ttd news sx,336x280,12.203459,1089,1000,0,4,0,4
USD,ttd spanish sx,300x600,67.976235,11176,8870,10,33,1,32
USD,ttd weather sx,250x250,0.18521,11,9,0,0,0,0
USD,/All Apps/Apple App Store/Games/Educational,300x250,0.16629,19,18,0,0,0,0
USD,Android Top Selling Free Books and Reference,320x50,65.36524,30875,28717,84,44,34,10
USD,mogo marks broadwayworld sx,970x250,149.630765,5237,3455,17,93,58,35
USD,mogo marks pav kpi sx 2,250x250,0.689675,89,71,0,0,0,0
USD,mogo marks seattle sx,160x600,4.060391,1077,812,0,2,0,2
USD,/All Apps/Google Play/Shopping,320x50,101.363151,32257,30300,21,3,2,1
USD,DO NOT USE Mobile - MoPub - People & Society,300x50,1.582702,233,201,0,0,0,0
USD,mogo marks lal branding (All) silver sx,320x51,0.8361,20,19,0,0,0,0
USD,pac canada sports sx,970x250,748.452351,46284,38604,101,232,26,206
USD,ttd health sx,300x50,253.448779,26378,25172,13,986,25,961
USD,/All Apps/Google Play/Education,320x50,26.639155,18929,18287,46,7,6,1
USD,Android Top Selling Free News and Magazines,250x250,0.005227,1,1,0,0,0,0
USD,mogo marks lal branding (All) silver sx,200x200,1.155455,149,90,0,1,0,1
USD,mogo marks video branding max reach tail aggregate sx,320x51,0.837271,21,20,0,0,0,0
USD,ttd travel sx,120x600,0.408055,26,19,0,0,0,0
USD,ttd weather sx,320x50,6883.552271,313942,290016,3178,3422,2897,525
USD,/All Apps/Google Play/Finance,320x50,24.546748,7437,6953,23,1,1,0
USD,African American Interests sx,970x250,0.080155,2,2,0,0,0,0
USD,Channel of Top Global Sites for Nielsen Display Ads - DO NOT EDIT,970x90,317.30437,24777,21333,20,29,0,29
USD,mogo marks coupon sx,200x200,0.209768,18,15,0,0,0,0
USD,mogo marks high intenders sx,250x250,0.403048,37,30,0,2,0,2
USD,mogo marks nyt sx,336x280,0.071937,16,11,0,0,0,0
USD,mogo marks pav kpi sx 2,320x50,6936.153005,1479562,1392567,1662,2865,545,2320
USD,mogo marks xsl_800p sx,320x51,0.837271,21,20,0,0,0,0
USD,mogo perf arts sx,200x200,0.070799,6,5,0,0,0,0
USD,ttd news sx,300x600,13646.23084,1557402,1254239,1641,4406,579,3827
USD,/All Apps/Google Play/Games,970x250,5.246816,424,369,5,1,1,0
USD,Android Top Selling Free Game,300x250,147.097643,8191,7122,86,28,28,0
USD,fgu test public channel,970x250,693.468239,46601,40440,108,153,23,130
USD,mogo marks lal (purchase) gold sx,970x66,0.035429,6,4,0,0,0,0
USD,mogo marks xsl_74205 (4p dims) sx ,970x250,4783.342772,408230,341327,646,1769,346,1423
USD,/All Apps/Apple App Store/Navigation,300x50,9.065769,397,379,3,0,0,0
USD,Channel of Top non-US Sites for Nielsen Display Ads - DO NOT EDIT,728x90,43712.59459,8914237,7416826,4371,20363,1104,19259
USD,Duxiana - Longtail Blacklist,160x600,33.051333,34337,30811,21,0,0,0
USD,Mercury Theater Chicago sx,728x90,216.942981,100823,83251,82,81,74,7
USD,mogo lydia peacecenter test,728x90,14402.52439,2264473,1770008,1663,4536,375,4161
USD,mogo marks ballet sx,160x600,0.751666,72,43,0,1,0,1
USD,mogo universal rt+ob black sx,320x100,0.008682,1,0,0,0,0,0
USD,ttd education sx,336x280,2.84862,634,520,0,0,0,0
USD,/All Apps/Google Play/News & Magazines,300x50,12.680189,3510,3391,5,0,0,0
USD,Android Top Selling Free Tools,728x90,0.476781,163,145,0,0,0,0
USD,DO NOT USE Tier 3,300x100,0.727688,134,122,0,0,0,0
USD,mogo marks kpi mdx sx xls9297,300x250,21354.95895,2637526,2144639,2362,7532,817,6715
USD,mogo marks natl cat-aff-im sx 3,320x100,9.592061,650,478,0,4,0,4
USD,mogo marks video sx xsl44760 class a,160x600,1639.633638,653938,648015,138,136,55,81
USD,DO NOT USE Mobile - MoPub - Computers & Electronics/Software/Multimedia Software/Audio & Music Software,300x50,0.01878,12,12,0,0,0,0
USD,mogo cult soph sx,300x50,148.03829,23646,22579,18,354,19,335
USD,mogo marks branding elite tier sx xls37852,336x280,0.894454,48,35,0,1,0,1
USD,mogo marks kpi mdx sx xls9297,970x250,4801.145139,359537,296268,614,1597,327,1270
USD,mogo marks lal (purchase) silver sx,320x100,201.457895,39723,36940,60,112,22,90
USD,mogo marks native high reach tail aggregate sx,336x280,73.86412,8498,7308,3,19,0,19
USD,mogo marks natl cat-aff-im sx 2,970x90,29.724707,2353,2020,2,4,0,4
USD,mogo marks ttd obx kitchen premium sink sx,250x250,70.85418,8777,7240,1,12,0,12
USD,mogo marks video sx xsl44760 class c,336x280,27.321794,6248,5480,6,7,0,7
USD,ttd real estate sx,320x50,148.494819,28821,27616,26,63,8,55
USD,/All Apps/Google Play/Games/Music,728x90,0.256971,147,142,1,0,0,0
USD,Android Top Selling Free Game,970x250,0.466653,30,26,0,0,0,0
USD,DO NOT USE,160x600,0.086342,2,2,1,0,0,0
USD,DO NOT USE Microsoft Bin (001),970x250,18.179327,222449,213554,166,15,2,13
USD,DO_NOT_USE Mobile - MoPub - Games,160x600,0.007188,1,1,0,0,0,0
USD,co top 41 converting,970x250,7.403136,317,253,1,0,0,0
USD,mogo cult soph sx,120x600,0.118982,32,27,0,0,0,0
USD,mogo marks agg sx xsl37589,970x90,416.485076,31320,27164,32,39,1,38
USD,mogo marks xsl_ks0001 sx,300x250,130279.6751,26637639,20951416,13723,47546,4154,43392
USD,ttd food sx,300x250,4642.620282,568515,465145,303,2794,125,2669
USD,/All Apps/Apple App Store/Games/Arcade,300x250,0.651237,112,74,1,0,0,0
USD,Android Top Selling Free Health and Fitness,320x50,36.207146,12609,8889,8,15,0,15
USD,DO NOT USE Tier 1* (CHANNEL),240x400,0.030607,3,2,0,0,0,0
USD,mogo CBS Interactive sx,320x50,1532.733543,316485,288642,528,435,109,326
USD,mogo marks ballet sx,970x90,0.031107,2,1,0,0,0,0
USD,mogo marks natl elite cat-aff-im sx,320x50,1833.189324,348020,306490,279,1138,157,981
USD,mogo marks t1 brand kpi sx x8t,300x50,44.548204,5163,4944,7,127,4,123
USD,mogo t1 brand sx,250x250,18.470749,2174,1728,1,4,0,4
USD,pac motorsports sx,300x600,428.110164,24006,20945,25,110,3,107
USD,/All Apps/Apple App Store/Finance,320x50,41.717353,6751,6504,18,0,0,0
USD,DO NOT USE All Google Anonymous,160x600,0.012195,1,1,0,0,0,0
USD,mogo marks branding comp rate platinum video sx,300x600,10627.79087,1225837,992015,1311,3217,450,2767
USD,mogo marks ticketing sx,300x250,586.826249,38928,31551,14,248,2,246
USD,mogo marks wsj sx x4v,320x50,0.103262,5,2,0,0,0,0
USD,ttd spanish sx,300x100,0.81117,219,198,1,0,0,0
USD,ttd travel sx,200x200,0.031154,6,3,0,1,0,1
USD,DO NOT USE Android Top Selling Free Media and Video,300x600,1.059492,216,192,2,1,1,0
USD,finn dallas native sx,728x90,459.942243,176715,141705,76,179,28,151
USD,mogo marks lal branding (All) platinum sx,320x100,18.960111,1994,1652,4,14,0,14
USD,mogo marks video sx xsl44760 class a,970x90,4.283056,102,81,0,0,0,0
USD,sfoc 2018 marks stratford premium sx,160x600,443.553276,150463,139623,102,418,60,358
USD,t1 brand black sx,728x90,2.796002,97,91,0,0,0,0
USD,ttd family parent sx,160x600,469.010107,139734,127142,47,179,13,166
USD,/All Apps/Google Play/Games,300x50,45.75306,6842,6637,21,0,0,0
USD,/All Apps/Google Play/Games/Simulation,970x250,0.001955,1,1,0,0,0,0
USD,5a kpi sx,300x250,175.265885,6976,4525,8,141,5,136
USD,Stratford KPI revised,160x600,8.374604,793,697,0,38,0,38
USD,mogo marks disney sx,300x250,112.18683,16000,10320,10,32,4,28
USD,mogo marks nyt sx,320x50,0.281924,127,95,0,0,0,0
USD,mogo marks perf arts silver sx,320x100,9.356745,516,338,0,4,0,4
USD,mogo marks xsl_74205 (4p dims) sx ,300x50,123.010377,29358,26408,10,375,17,358
USD,sfoc pslx 2018 sx (Jun_2018),728x90,1668.928438,380857,352750,208,2925,148,2777
USD,/All Apps/Apple App Store/Games/Sports,970x250,0.081477,5,4,0,0,0,0
USD,/All Apps/Apple App Store/Medical,320x50,16.779234,24177,23739,60,0,0,0
USD,APACTix Sitelist sx,300x600,68.137315,2123,1679,3,12,1,11
USD,Channel of Top non-US Sites for Nielsen Display Ads - DO NOT EDIT,120x600,8.144822,1792,1499,1,0,0,0
USD,mogo lydia peacecenter test,120x600,0.309209,78,71,0,0,0,0
USD,mogo marks branding increased reach sx,160x600,46371.28661,12355549,10931691,5301,23250,1679,21571
USD,mogo marks seattle sx,970x250,15.574855,2863,2403,1,0,0,0
USD,ttd news sx,468x60,0.059178,20,9,0,0,0,0
USD,mogo marks branding drhbx gold sx,320x100,93.655943,21087,19316,20,85,5,80
USD,mogo marks branding drhbx silver sx,320x51,0.8361,20,19,0,0,0,0
USD,mogo marks jazz & blues sx,300x250,138.781358,27842,21383,6,70,3,67
USD,Performing Arts Fort Worth sx,300x250,24.874468,5149,4646,3,19,0,19
USD,ttd education sx,320x50,3555.426612,1617733,1516296,1303,1778,322,1456
USD,ttd health wellness sx,160x600,433.450321,37768,29303,50,304,7,297
USD,Android Top Selling Free Music and Audio,300x50,12.320617,3172,2977,2,1,0,1
USD,Channel of Top Global Sites for Nielsen Display Ads - DO NOT EDIT,320x100,333.708378,54509,50340,95,178,33,145
USD,mogo marks branding max reach sx,160x600,48535.98121,12787862,11285679,5604,24942,1766,23176
USD,mogo marks lal (purchase) gold sx,160x600,7560.280606,850612,722878,609,3871,195,3676
USD,mogo marks native (sharethrough) unique can sx,300x600,4596.631954,583573,482689,603,1982,183,1799
USD,mogo marks natl elite cat-aff-im sx,468x60,0.004844,2,0,0,0,0,0
USD,mogo marks xsl_74205 (4p dims) sx ,120x600,0.12627,15,14,0,0,0,0
USD,sfjazz travel sx,300x600,67.580523,4002,3737,5,20,4,16
USD,sfoc cix sx,300x250,28.983687,1557,1384,0,115,0,115
USD,ttd spanish sx,970x90,0.508348,129,108,0,0,0,0
USD,/All Apps/Apple App Store/Games/Board,970x250,4.395583,357,336,6,0,0,0
USD,mogo marks shakespeare sx,160x600,14.683539,1655,1129,0,0,0,0
USD,/All Apps/Apple App Store/Weather,300x600,0.207489,9,9,0,0,0,0
USD,Duxiana- Bad Site List(Allan) ,160x600,17.965412,13312,11959,7,5,0,5
USD,Lynn Grad,728x90,42.840017,6205,5775,1,29,1,28
USD,mogo marks xsl_ks20780 sx,300x50,2787.102469,523880,494573,249,7784,195,7589
USD,ttd health wellness sx,970x250,145.483947,10758,9875,19,34,17,17
USD,Duxiana - KPI sx,728x90,192.628927,87991,76758,50,6,0,6
USD,mogo marks branding max reach sx,970x250,11940.09304,1459918,1272751,2168,4172,777,3395
USD,mogo marks branding tier 1 sx xls37852,240x400,0.054511,6,5,0,0,0,0
USD,mogo marks native high reach tail aggregate sx,970x90,266.166989,21694,18705,21,25,1,24
USD,mogo marks perf arts branding high reach sx,320x50,3310.951413,561612,501132,461,1684,167,1517
USD,mogo marks toronto sx,320x50,222.496779,103727,89229,54,234,40,194
USD,mogo marks travel sx,300x250,1052.253155,47274,37256,31,413,11,402
USD,ttd beauty sx,468x60,0.004927,2,1,0,0,0,0
USD,ttd tech sx,200x200,0.275313,98,49,0,0,0,0
USD,/All Apps/Google Play/Shopping,300x50,0.066664,40,35,0,0,0,0
USD,5a kpi sx,970x90,0.442692,15,12,0,0,0,0
USD,Android Top Selling Free Books and Reference,300x50,2.883316,422,401,0,8,4,4
USD,DO NOT USE Tier 2* (CHANNEL),728x90,8434.820957,1419340,1190483,871,8443,336,8107
USD,Mogo DBM premium video sx,250x250,20.113673,2543,2076,1,3,0,3
USD,Stratford KPI revised,970x250,23.57928,3266,2779,9,57,9,48
USD,education master sx,200x200,0.150526,14,14,0,0,0,0
USD,DO NOT USE Invite US Expandable Enabled Sites,120x600,0.038421,10,5,0,0,0,0
USD,Diablo Blacklist ,728x90,129.397387,12648,11912,5,782,8,774
USD,RCU Blacklist Sites (CPA),300x250,10.809533,1020,942,1,3,0,3
USD,mogo marks branding increased reach sx,200x200,5.171318,704,535,0,2,0,2
USD,mogo marks natl cat-aff-im sx,970x90,32.83313,2619,2214,2,4,0,4
USD,mogo marks xsl_ks0001 sx,240x400,0.020257,3,1,0,0,0,0
USD,sfoc stratford hqcat sx,160x600,5.837531,367,325,0,1,0,1
USD,/All Apps/Apple App Store/Health & Fitness,300x600,0.578392,13,8,1,0,0,0
USD,/All Apps/Google Play/Games/Card,160x600,1.917963,231,214,1,0,0,0
USD,/All Apps/Google Play/Games/Role Playing,728x90,0.615589,2177,2166,3,0,0,0
USD,Arvada local sx,320x50,14.02243,1517,1394,4,10,0,10
USD,mogo marks branding increased reach sx,300x100,3.547413,703,625,1,0,0,0
USD,mogo marks branding tier 1 sx xls37852,728x90,54433.92196,10257745,8096583,5110,27821,1531,26290
USD,mogo marks pav kpi sx,336x280,0.743167,30,22,0,1,0,1
USD,mogo marks perf arts sx 2,970x250,3872.278447,267971,219022,496,1170,258,912
USD,mogo marks ticketing sx,728x90,288.978577,27021,15333,9,139,5,134
USD,mogo mba tier 1 sx,160x600,8.700181,1290,1135,0,0,0,0
USD,mogo t1 brand sx,160x600,5325.576582,1788875,1601260,466,1718,146,1572
USD,ttd kids sx,336x280,3.564309,581,549,0,0,0,0
USD,Arizona Theatre Company - Site List,320x50,0.139622,11,6,0,0,0,0
USD,BBB black sx,160x600,0.099638,16,16,0,0,0,0
USD,Channel of Top US Sites for Nielsen Display Ads - DO NOT EDIT,120x600,11.179368,2898,2288,2,0,0,0
USD,Channel of Top non-US Sites for Nielsen Display Ads - DO NOT EDIT,320x51,0.001171,1,1,0,0,0,0
USD,DO NOT USE AppNexus - Collective Media,300x250,25475.54721,5427416,4099303,2997,9967,982,8985
USD,DO NOT USE Mobile - MoPub - People & Society,320x50,28.920038,8967,6889,19,1,1,0
USD,dbm native sx (adx),320x100,89.378236,10845,10292,17,18,13,5
USD,mogo marks bwwpb sx,300x250,2980.357805,172323,117844,268,1197,118,1079
USD,mogo marks lal (purchase) platinum sx,300x50,91.869517,7172,6806,6,373,2,371
USD,mogo marks sports sx,970x66,0.815601,235,133,0,0,0,0
USD,mogo marks t1 brand kpi sx x8t,200x200,0.014553,1,0,0,0,0,0
USD,sfjazz travel sx,300x250,114.507688,5824,5379,10,31,2,29
USD,sfoc pslx 2018 sx (Jun_2018_Archived),300x600,1378.673499,231345,215046,229,1796,201,1595
USD,ttd male sx,300x600,2115.20274,318265,265097,288,1057,107,950
USD,/All Apps/Apple App Store/Games/Puzzle,320x50,393.546776,288329,282352,624,30,14,16
USD,/All Apps/Apple App Store/Games/Simulation,320x50,5.907577,3315,3245,19,0,0,0
USD,Brandcast Blacklist ,250x250,15.227425,2728,2314,0,1,0,1
USD,mogo biz-fi sx,300x250,12594.71433,1681258,1361106,1778,3985,552,3433
USD,mogo centro sx US (2014),200x200,0.134175,8,8,0,0,0,0
USD,mogo marks broadway sx,300x250,3336.136522,209802,146854,310,1301,134,1167
USD,mogo marks lal (purchase) gold sx,300x100,0.203128,31,28,0,0,0,0
USD,mogo marks natl canada cat-aff-im sx,320x100,8.765242,445,292,0,4,0,4
USD,/All Apps/Apple App Store/Entertainment,320x50,1528.96437,1122026,1055817,1674,48,23,25
USD,/All Apps/Apple App Store/Games/Arcade,728x90,4.935602,4431,4382,11,1,1,0
USD,/All Apps/Apple App Store/Photo & Video,320x100,0.00023,1,1,0,0,0,0
USD,Android Top Selling Free Education,320x50,3.515427,2205,2113,19,0,0,0
USD,DO NOT USE OAM UK,160x600,300.680009,33907,29519,36,265,7,258
USD,education master sx,300x100,0.097726,20,17,0,0,0,0
USD,mogo marks xsl_ks0001 sx,728x90,59726.55142,11781686,9334912,5776,25688,1672,24016
USD,mogo sports sx,728x90,4523.654058,648278,519598,214,994,40,954
USD,ttd food sx,970x250,111.070553,9170,8074,18,79,12,67
USD,/All Apps/Google Play/Travel & Local,320x100,0.001092,1,1,0,0,0,0
USD,Android Top Selling Free Sports,320x100,0.005753,15,12,0,0,0,0
USD,mogo marks native standard reach (no) tail aggregate sx,120x600,2.915168,314,254,0,0,0,0
USD,mogo marks perf arts platinum sx,300x250,3811.512179,238040,168157,326,1545,147,1398
USD,mogo marks stratford (canada) sx,300x250,42.129778,5038,4408,0,92,0,92
USD,ttd health sx,320x50,5707.31025,929179,878844,792,3047,289,2758
USD,ttd sports sx,300x600,1185.435569,102768,86888,114,296,34,262
USD,ttd tech sx,300x100,0.005876,1,1,0,0,0,0
USD,Android Movers and Shakers,970x250,0.011793,5,5,0,0,0,0
USD,Pac Fox Atlanta EXCLUSION List,970x250,159.94273,6282,5462,20,32,5,27
USD,dso custom hx,300x250,34.710203,3619,3334,1,48,1,47
USD,mogo marks lal (purchase) platinum sx,468x60,0.004844,2,0,0,0,0,0
USD,/All Apps/Apple App Store/Newsstand/News & Politics,300x250,666.917548,235647,199645,260,12,5,7
USD,/All Apps/Google Play/Games/Casual,728x90,7.120123,5638,5421,16,2,2,0
USD,DO NOT USE Invite December Brand Safe List,120x600,1.786179,479,206,0,0,0,0
USD,Mogo DBM basic video sx,970x90,6.384462,418,361,0,0,0,0
USD,ttd female sx,300x250,7691.890759,1365588,1074621,658,3486,205,3281
USD,ttd kids sx,120x600,0.002151,2,0,0,0,0,0
USD,/All Apps/Apple App Store/Business,300x50,1.969365,290,270,1,0,0,0
USD,/All Apps/Apple App Store/Games/Role Playing,728x90,4.171321,1065,971,13,2,2,0
USD,/All Apps/Google Play,320x100,0.696166,317,282,0,0,0,0
USD,mogo marks lal branding (All) platinum sx,970x250,1260.975198,86499,70268,199,584,107,477
USD,mogo marks native standard reach (no) tail aggregate sx,468x60,2.007183,572,300,0,0,0,0
USD,mogo marks opera sx,160x600,21.917369,3642,2118,3,16,2,14
USD,ttd auto sx,970x90,3.193246,295,245,1,0,0,0
USD,ttd entertainment sx,300x250,26224.43789,5717067,4405675,3139,8740,1001,7739
USD,/All Apps/Apple App Store/Games/Trivia,300x250,0.975056,36,33,1,0,0,0
USD,/All Apps/Apple App Store/Reference,300x600,17.012712,487,281,23,0,0,0
USD,Android Top Selling Free Game,320x50,1616.602901,921238,888699,4072,709,618,91
USD,Android Top Selling Free Game,728x90,20.97736,11091,10606,90,24,23,1
USD,Android Top Selling Free Photography,970x250,0.052727,14,13,0,1,1,0
USD,Brandcast Blacklist ,200x200,0.049697,23,23,0,0,0,0
USD,DO NOT USE Invite US Expandable Enabled Sites,970x66,0.077846,17,9,0,0,0,0
USD,DO NOT USE Tier 3 (2),970x250,31.389014,3873,3161,7,18,1,17
USD,Mogo MMX tabx sx,300x250,0.003162,1,1,0,0,0,0
USD,mogo centro sx US (2014),300x600,3364.347616,511408,345187,388,891,139,752
USD,mogo marks xsl_800p sx,320x100,243.63987,46501,43082,77,145,27,118
USD,/All Apps/Google Play/Sports,300x600,1.686164,186,159,3,0,0,0
USD,DO NOT USE Invite December Brand Safe List,300x50,1046.835204,171046,161860,102,2941,82,2859
USD,DO NOT USE Tier 3* (CHANNEL),300x250,33958.12084,7223154,5285634,3650,13970,1048,12922
USD,mogo marks branding drhbx gold sx,240x400,0.049258,5,4,0,0,0,0
USD,mogo marks denver sx,970x250,11.485486,819,682,3,9,4,5
USD,mogo marks kpi mdx sx xls9297,320x50,9628.833755,2059122,1948702,1797,4432,583,3849
USD,mogo marks lal (purchase) silver sx,728x90,38967.31343,5811252,4640785,3470,23107,1019,22088
USD,mogo marks native (sharethrough) unique us sx,300x50,382.948633,89429,85016,39,940,28,912
USD,/All Apps/Apple App Store/Entertainment,160x600,24.997134,940,835,126,8,7,1
USD,Channel of Top US Sites for Nielsen Display Ads - DO NOT EDIT,240x400,0.37262,31,22,0,0,0,0
USD,DO NOT USE Invite US Expandable Enabled Sites,728x90,1983.483276,473824,391965,157,961,49,912
USD,ttd family parent sx,300x250,13360.39566,3473196,3002584,1085,2835,291,2544
USD,/All Apps/Apple App Store/Games/Casino,320x50,69.150997,52490,49865,111,3,3,0
USD,/All Apps/Apple App Store/News,300x50,7.447391,2507,2396,6,0,0,0
USD,bbb kpi sx (2019),728x90,228.871929,17638,16631,3,131,0,131
USD,mogo marks natl cat-aff-im sx 2,200x200,0.014553,1,0,0,0,0,0
USD,mogo marks ttd obx kitchen premium sink sx,Unknown,5452.056295,162953,155927,839,110,0,110
USD,mogo marks xsl_74205 sx ,300x50,175.821734,34249,31129,17,521,19,502
USD,mogo marks xsl_ks0001 sx,160x600,28671.60553,7416900,6560729,3199,11128,1019,10109
USD,mogo marks xsl_ks20780 sx,320x100,352.1884,58425,54009,95,180,31,149
USD,ttd news sx,970x90,44.430305,3067,2535,8,3,0,3
USD,/All Apps/Apple App Store/Games/Puzzle,160x600,16.044743,494,452,73,8,7,1
USD,DO NOT USE Mobile - MoPub - Online Communities,300x50,1.493171,711,694,4,0,0,0
USD,DO_NOT_USE Mobile - MoPub - Games,300x600,4.861813,197,169,3,0,0,0
USD,Mogo DBM select video sx,300x250,3125.846143,442222,374280,193,1695,40,1655
USD,Portland Center Stage KPI sx,300x250,11.445505,1906,1617,0,7,0,7
USD,mogo marks perf arts sx 7,320x100,9.3715,534,372,0,4,0,4
USD,mogo music sx,728x90,234.559264,46032,37891,28,80,5,75
USD,ttd sports sx,250x250,1.516078,194,153,0,1,0,1
USD,/All Apps/Apple App Store/Food & Drink,728x90,34.821424,12763,12242,15,3,2,1
USD,5a local sx seattle,320x50,6.650358,4455,4141,1,7,1,6
USD,Android Top Selling Free Books and Reference,320x100,0.026335,14,13,0,0,0,0
USD,DO NOT USE All Google Anonymous,300x250,0.119845,52,44,0,0,0,0
USD,mogo marks agg sx xsl37589,200x200,5.037433,592,426,0,2,0,2
USD,mogo marks lal (purchase) platinum sx,240x400,0.012357,1,1,0,0,0,0
USD,mogo marks lal branding (All) gold sx,300x250,41924.60515,5246731,3962875,4049,21891,1342,20549
USD,mogo marks pav kpi sx,970x66,0.004991,1,0,0,0,0,0
USD,mogo marks perf arts branding high reach sx,336x280,0.891718,38,30,0,2,0,2
USD,mogo marks sacramento sx,336x280,0.00575,1,1,0,0,0,0
USD,mogo marks ticketing sx,160x600,150.676855,13586,9411,4,41,3,38
USD,mogo marks xsl_74205 sx ,120x600,0.145074,17,15,0,0,0,0
USD,ttd male sx,250x250,1.481066,221,186,0,1,0,1
USD,Broadway sx,320x50,10.119316,294,266,0,4,0,4
USD,Duxiana - Longtail Blacklist,970x250,7.865874,1856,1472,5,0,0,0
USD,Pac Private Events/Wedding sx,300x50,0.124401,18,17,0,0,0,0
USD,Performing Arts Fort Worth black sx,970x250,0.227873,38,31,0,0,0,0
USD,mogo education sx,728x90,2121.058048,475636,401793,274,1644,93,1551
USD,mogo marks kpi mdx sx xls9297,970x90,29.361548,2003,1697,2,3,0,3
USD,mogo marks perf arts sx 5 epx1,970x250,295.647805,18915,11918,52,196,72,124
USD,mogo marks ttd obx kitchen premium sink sx,468x60,3.00428,1254,905,0,0,0,0
