Advertiser Currency,Channel,Creative Size,Revenue (Adv Currency),Impressions,Active View: Viewable Impressions,Clicks,Total Conversions,Post-Click Conversions,Post-View Conversions
USD,Chicago T1 sites,970x250,246.112986,27456,20822,73,117,53,64
USD,education master sx,300x600,5590.521071,635378,536714,602,2817,209,2608
USD,mogo marks native standard reach (no) tail aggregate sx,320x50,58854.73462,13870790,12938809,17704,23169,7302,15867
USD,/All Apps/Apple App Store/Newsstand/News & Politics,320x50,0.00759,2,2,0,0,0,0
USD,/All Apps/Google Play/Games/Casino,728x90,0.234913,301,300,0,0,0,0
USD,Android Top Selling Free Music and Audio,300x250,272.746044,86705,82658,131,18,6,12
USD,DCPA video local sx,300x600,10.160209,341,285,0,3,0,3
USD,DO NOT USE All Google Anonymous (2),728x90,0.009413,10,8,0,0,0,0
USD,Mercury Theater Chicago sx,300x250,166.081344,58022,45065,55,40,25,15
USD,Mogo DBM select video sx,970x66,0.11512,23,4,0,0,0,0
USD,mogo marks agg sx xsl37589,250x250,104.42192,13403,11008,5,20,0,20
USD,mogo marks video branding medium reach tail aggregate sx,250x250,62.697216,8025,6658,5,9,0,9
USD,ttd female sx,320x50,7559.803791,2996746,2824335,1597,3470,504,2966
USD,ttd music sx,250x250,3.661823,359,316,0,1,0,1
USD,Android Top Selling Free Sports,320x50,103.164288,115050,104631,193,16,11,5
USD,Channel of Top Global Sites for Nielsen Display Ads - DO NOT EDIT,160x600,44446.45651,12015658,10669329,5164,21900,1679,20221
USD,Channel of Top US Sites for Nielsen Video Ads - DO NOT EDIT,970x90,269.155413,21422,18519,15,20,0,20
USD,DO NOT USE Tier 1,240x400,0.030607,3,2,0,0,0,0
USD,debartolo local site list,728x90,9.689707,607,373,0,7,0,7
USD,dso custom hx,320x50,85.321783,15528,14764,8,286,8,278
USD,fgu test public channel,300x250,14450.4714,3311095,2809002,1000,3504,263,3241
USD,mogo marks coupon sx,120x600,0.150891,14,8,0,0,0,0
USD,mogo marks ttd obx kitchen premium sink sx,300x50,1495.914135,263518,247812,147,4174,133,4041
USD,mogo marks xsl_74205 (2p dims) sx ,300x50,171.557463,33999,30888,17,511,19,492
USD,ttd entertainment sx,320x50,18511.99346,6702117,6206780,5233,7505,1536,5969
USD,/All Apps/Google Play/Games,300x250,278.57416,24296,21901,229,39,35,4
USD,DO_NOT_USE Bid Manager reportable sites channel (Soon to be deprecated and please exclude channel: Non-reportable sites and apps),970x90,420.233982,32170,27899,32,35,1,34
USD,kid safe sx,250x250,15.920001,2081,1647,1,2,0,2
USD,mogo marks houston sx,160x600,0.951877,131,66,0,2,0,2
USD,mogo marks native (sharethrough) unique us sx,200x200,0.647713,44,38,0,0,0,0
USD,mogo marks native sx xsl1045 class b,300x100,0.086565,13,11,0,0,0,0
USD,mogo marks native sx xsl1045 class c,970x90,91.935647,8101,6753,0,6,0,6
USD,mogo marks xsl_74205 (4p dims) sx ,300x250,24019.15261,4194097,3390457,2876,8864,903,7961
USD,/All Apps/Apple App Store/Games/Trivia,320x50,45.445159,24597,23226,19,0,0,0
USD,African American Interests sx,300x250,0.402017,57,47,0,0,0,0
USD,Greg's GG KPI + relevant sites list,970x250,1.911266,48,45,0,0,0,0
USD,Mogo MMX tabx sx,320x50,0.415067,167,158,0,0,0,0
USD,mogo marks branding drhbx platinum sx,250x250,2.422848,219,183,0,3,0,3
USD,mogo marks hq100p sx,970x66,0.175138,30,12,0,0,0,0
USD,mogo sf local sx,300x50,61.59746,5781,5373,3,86,0,86
USD,ttd beauty sx,320x100,0.869594,45,41,0,0,0,0
USD,tz - Local Seattle sx,320x50,9.168137,5195,4053,2,5,0,5
USD,zt perf arts black sx 5,160x600,0.093975,27,25,0,1,0,1
USD,/All Apps/Apple App Store/Games/Family,160x600,0.212117,9,9,1,0,0,0
USD,DO NOT USE Tier 3* (CHANNEL),320x50,35841.51816,10352420,9586956,10357,13625,2872,10753
USD,Nashville Local sx,728x90,5.232512,606,573,0,5,0,5
USD,arizona opera top converters sx,160x600,38.779357,7324,6932,2,7,2,5
USD,maryland-dc sx,160x600,41.542626,10084,7890,4,7,2,5
USD,mogo marks branding tier 2 sx xls37852,970x66,0.780627,238,139,0,0,0,0
USD,mogo marks lal branding (All) silver sx,120x600,4.826004,573,452,0,0,0,0
USD,mogo marks natl cat-aff-im sx 2,250x250,1.635342,143,126,0,0,0,0
USD,mogo marks perf arts sx 6,300x50,1.091246,77,71,0,4,0,4
USD,mogo mba tier 2 sx,320x100,1.407745,130,124,1,0,0,0
USD,/All Apps/Google Play/Games/Racing,336x280,0.005894,2,2,0,0,0,0
USD,mogo marks native (sharethrough) unique us sx,250x250,11.706519,1616,1392,2,1,0,1
USD,mogo marks pav kpi sx 2,970x250,5170.113016,472934,403043,778,1932,411,1521
USD,mogo marks perf arts sx 6,336x280,0.822517,32,24,0,1,0,1
USD,sfoc pslx 2019 sx (Mar_2019),970x250,368.372134,52744,48495,85,405,73,332
USD,ttd real estate sx,300x250,825.25948,261503,48029,32,270,11,259
USD,/All Apps/Apple App Store/Games/Casino,160x600,149.079982,2920,2809,504,10,10,0
USD,/All Apps/Apple App Store/Newsstand/Regional News,970x90,0.008705,5,5,0,0,0,0
USD,/All Apps/Google Play/Media & Video,336x280,0.042636,4,4,0,0,0,0
USD,APACTix Sitelist sx,728x90,54.388865,1860,1412,2,10,0,10
USD,Diablo Blacklist ,300x600,3.104734,235,219,0,11,0,11
USD,finn dallas native sx,300x250,2107.625149,156271,116316,195,726,72,654
USD,mogo CBS Interactive sx,300x250,1078.468499,148253,98252,95,467,45,422
USD,mogo lydia peacecenter test,320x100,0.29381,38,34,0,0,0,0
USD,mogo marks elite kpi achievers sx,300x250,10048.46343,1432806,1001929,1355,3416,449,2967
USD,mogo marks perf arts sx 11,336x280,0.822517,32,24,0,1,0,1
USD,Channel of Top non-US Sites for Nielsen Display Ads - DO NOT EDIT,320x100,183.731628,27096,25378,33,77,14,63
USD,DO NOT USE Tier 2* (CHANNEL),300x600,5158.838861,576921,515648,471,2455,161,2294
USD,/All Apps/Google Play/Books & Reference,160x600,0.127773,4,4,0,0,0,0
USD,/All Apps/Google Play/Games/Board,300x50,0.063649,51,51,0,0,0,0
USD,Android Top Selling Free Health and Fitness,300x250,5.858793,503,304,5,2,1,1
USD,Android Top Selling Free Social,300x600,10.334001,790,694,29,4,4,0
USD,mogo financial services kpi sx,160x600,5152.049908,1374336,1164369,446,1563,164,1399
USD,mogo marks broadway sx,320x50,1418.894214,105984,95600,166,861,76,785
USD,mogo marks native (sharethrough) unique can sx,728x90,11912.64813,2442029,2141783,970,6702,318,6384
USD,mogo marks natl elite cat-aff-im sx,300x250,10295.96952,1316460,1055624,1450,3989,532,3457
USD,mogo marks perf arts platinum sx,320x50,1570.112701,131877,107691,199,930,95,835
USD,mogo marks stratford (canada) sx,320x50,0.024178,2,1,0,0,0,0
USD,ttd weather sx,970x250,321.604026,13367,10535,56,94,8,86
USD,/All Apps/Apple App Store/Finance,300x250,2.85358,350,297,0,0,0,0
USD,/All Apps/Google Play/Education,728x90,0.812636,623,609,1,0,0,0
USD,/All Apps/Google Play/Entertainment,336x280,0.000748,1,1,0,0,0,0
USD,/All Apps/Google Play/Finance,970x250,0.000904,16,16,0,0,0,0
USD,5a local sx seattle,160x600,0.022532,22,22,0,0,0,0
USD,DO NOT USE AppNexus - Collective Media,320x50,32624.66491,7089460,6620350,10686,13372,5035,8337
USD,Mogo DBM premium video sx,336x280,11.540535,949,847,0,1,0,1
USD,mogo biz-fi sx,320x50,1347.805149,278462,250155,205,482,83,399
USD,mogo marks bwwpb sx,320x50,1140.955758,77230,70340,144,678,66,612
USD,mogo marks native sx xsl1045 class a,160x600,297.862449,34585,27694,21,159,2,157
USD,mogo marks wsj sx x4v,300x250,310.108842,9193,7941,19,68,7,61
USD,mogo marks xsl_ks20780 sx,300x100,2.84024,565,499,1,0,0,0
USD,Lynn Grad,320x50,98.142021,14348,13542,11,49,4,45
USD,mogo canada t1 sx,300x50,61.760174,10809,10336,5,134,6,128
USD,mogo marks native sx xsl1045 class b,336x280,2.031799,188,158,0,0,0,0
USD,pac motorsports sx,300x250,14352.16041,3277620,2821010,994,3024,262,2762
USD,mogo marks branding comp rate platinum video sx,300x250,42808.0198,8920443,7411232,5118,13275,1508,11767
USD,mogo marks perf arts sx 7,300x50,10.70704,1062,991,2,20,1,19
USD,mogo marks video branding medium reach tail aggregate sx,970x90,250.130526,20096,17347,24,20,0,20
USD,DO NOT USE Android Top Selling Free Media and Video,300x250,0.580946,61,50,0,0,0,0
USD,DO NOT USE Tier 2* (CHANNEL),320x50,9612.850759,2554521,2373747,2458,4306,633,3673
USD,DSM African American sx,160x600,0.38048,64,51,0,1,0,1
USD,Performing Arts Fort Worth Test List,970x250,15.36674,1522,1300,6,7,3,4
USD,mogo marks dallas sx,300x50,2.18461,436,411,0,3,0,3
USD,mogo marks disney sx,970x90,2.121977,80,74,0,0,0,0
USD,mogo marks kpi mdx sx xls9297,320x100,30.276505,8077,7628,6,25,1,24
USD,mogo marks perf arts sx 2,300x250,11283.80536,1352407,1055723,1523,3719,532,3187
USD,mogo marks perf arts sx 6,250x250,0.019762,6,1,0,0,0,0
USD,mogo marks phoenix sx,300x50,0.766226,185,173,0,0,0,0
USD,mogo marks xsl_800p sx,970x66,0.585214,328,35,0,0,0,0
USD,ttd real estate sx,728x90,104.51291,18531,3663,2,23,1,22
USD,/All Apps/Apple App Store/Finance,728x90,27.425877,1474,1405,11,0,0,0
USD,/All Apps/Apple App Store/Games/Action,160x600,0.010459,1,1,0,0,0,0
USD,Android Top Selling Free Health and Fitness,728x90,0.077851,28,23,0,0,0,0
USD,RCU Blacklist Sites (CPA),300x600,1.436066,151,133,0,1,0,1
USD,mogo marks lal branding (All) gold sx,468x60,3.305409,1068,529,0,0,0,0
USD,mogo marks travel sx,300x600,367.102963,11558,9962,19,142,1,141
USD,mogo marks wsj sx x4v,728x90,147.863248,3819,3212,6,12,2,10
USD,ttd music sx,970x90,0.469379,89,72,1,0,0,0
USD,Android Top Selling Free Social,320x50,462.837226,154718,139274,496,36,29,7
USD,mogo marks natl elite cat-aff-im sx,728x90,6304.403802,514583,412280,240,2116,89,2027
USD,mogo marks perf arts platinum sx,336x280,0.888875,35,27,0,2,0,2
USD,mogo marks perf arts sx 11,250x250,0.009307,5,0,0,0,0,0
USD,mogo sf local sx,250x250,0.279094,25,21,0,0,0,0
USD,ttd entertainment sx,320x51,0.8361,20,19,0,0,0,0
USD,ttd news sx,728x90,19431.03131,4033169,2912272,1546,6144,643,5501
USD,/All Apps/Apple App Store/Social Networking,160x600,0.020936,2,1,0,0,0,0
USD,/All Apps/Google Play/News & Magazines,300x600,32.867704,2060,1855,18,3,3,0
USD,DO NOT USE Mobile - MoPub - Sports,320x50,0.010284,5,3,0,0,0,0
USD,mogo marks branding tier 1 sx xls37852,200x200,2.056039,261,200,0,1,0,1
USD,mogo marks coupon sx,320x50,91.156987,8180,6663,5,12,1,11
USD,mogo marks ttd obx kitchen premium sink sx,970x250,10174.99875,1298859,1134158,1876,3399,699,2700
USD,ttd education sx,200x200,0.150526,14,14,0,0,0,0
USD,ttd travel sx,300x600,3601.853877,172957,149619,443,925,107,818
USD,/All Apps/Apple App Store/Utilities,300x600,1.261311,123,110,6,1,1,0
USD,/All Apps/Google Play/Comics,320x50,0.646355,1049,1005,0,0,0,0
USD,DO NOT USE Mobile - MoPub - Beauty & Fitness/Fitness,320x50,12.455693,6802,6667,5,1,1,0
USD,DO NOT USE OAM UK,728x90,219.855116,38061,16442,24,72,5,67
USD,DO NOT USE Tier 2* (CHANNEL),300x100,0.185068,46,42,0,0,0,0
USD,mogo marks denver sx,300x250,1230.493595,123873,106818,79,346,48,298
USD,mogo marks native (sharethrough) unique can sx,300x50,358.695104,85049,80895,37,851,27,824
USD,pac canada sports sx,468x60,0.304143,226,146,0,0,0,0
USD,ttd gaming sx,320x100,3.578701,609,546,3,0,0,0
